token,score
1,5.95
mais,5.7
allez,5.23
toi,6.45
je,6.19
t,6.09
emmène,5.0
au,7.33
resto,4.73
en,4.83
zappé,5.0
le,7.76
telho,5.0
reste,6.64
tranquille,5.5
t,6.09
es,6.14
sur,6.28
tn,4.93
clavier,5.87
2,6.18
rt,5.62
le,7.76
nrj,5.65
music,6.41
tour,6.5
vendée,3.2
débarque,5.0
le,7.76
5,6.12
mars,5.82
à,7.29
la,5.78
roche,5.87
sur,6.28
yon,4.88
avec,6.72
toutes,4.7
vos,6.03
stars,6.5
préférées,5.0
nmtvendee,5.0
https,4.56
t,6.09
3,5.99
rt,5.62
troisième,4.3
participant,5.17
le,7.76
superbe,5.0
qui,6.16
a,5.78
un,4.86
message,5.45
pour,6.17
vous,6.27
lol,5.7
jpp,3.77
thedivisionlive,5.0
http,4.9
4,6.17
rt,5.62
chepa,4.18
elle,7.61
cherche,6.18
koi,5.57
cet,5.44
pute,5.0
j,6.62
lapelle,5.0
jtombe,5.0
sur,6.28
le,7.76
répondeur,5.0
de,6.24
meditel,5.0
https,4.56
t,6.09
co,6.35
gdck4kydbl,5.0
5,6.12
j,6.62
ai,5.57
mon,6.36
concours,5.67
ifsi,5.0
à,7.29
reims,5.54
le,7.76
premier,6.66
jour,7.03
de,6.24
mon,6.36
bac,5.66
blanc,7.45
6,6.13
heu,4.86
les,6.43
con,6.1
je,6.19
prend,5.0
les,6.43
lopettes,5.0
sont,6.13
pas,5.86
dans,6.67
le,7.76
même,6.66
parti,5.91
mdrrrr,5.0
7,5.98
l,6.15
abracadabar,5.0
diffusera,5.0
sur,6.28
grand,6.64
écran,5.0
le,7.76
nintendo,6.13
direct,5.22
attention,4.84
le,7.76
bar,6.6
n,6.26
ouvre,5.0
pas,5.86
avant,7.94
19h,5.0
et,6.81
ferme,5.18
à,7.29
0h00,5.0
https,4.56
t,6.09
co,6.35
4r3zinjerc,5.0
8,6.29
rt,5.62
le,7.76
cancer,4.25
reste,6.64
toujours,6.59
extrêmement,5.0
fidèle,4.51
à,7.29
ses,6.19
amis,6.2
9,6.19
l,6.15
orage,4.95
il,5.33
était,5.93
juste,6.45
au,7.33
dessus,5.91
de,6.24
ma,6.33
maison,7.19
le,7.76
voyou,5.0
10,5.67
mais,5.7
ptdr,5.0
le,7.76
prix,6.18
des,5.91
fringues,5.0
11,4.94
ah,5.79
ah,5.79
le,7.76
tas,5.25
de,6.24
feuilles,4.62
l,6.15
équivalent,5.0
d,5.91
un,4.86
chapitre,5.0
dans,6.67
une,7.07
de,6.24
mes,4.25
grosses,4.01
matières,5.0
et,6.81
encore,6.93
12,5.69
je,6.19
le,7.76
soutien,5.65
100,4.9
https,4.56
t,6.09
co,6.35
uqi46s7cpf,5.0
13,5.45
les,6.43
flocons,5.0
ils,5.46
sont,6.13
balz,3.45
comme,6.58
le,7.76
chat,7.04
de,6.24
wande,4.38
14,5.6
critiquer,5.0
pas,5.86
le,7.76
temps,5.32
mes,4.25
amis,6.2
15,5.68
rt,5.62
j,6.62
ai,5.57
l,6.15
apparence,5.0
d,5.91
une,7.07
personne,6.02
calme,5.0
mais,5.7
si,6.96
j,6.62
explose,5.0
même,6.66
le,7.76
diable,7.42
se,5.9
cache,5.23
16,5.72
oui,4.98
ce,6.34
exact,4.8
surtout,5.0
a,5.78
3,5.99
ou,5.94
4,6.17
ans,5.18
ca,4.38
commence,4.86
tot,5.22
le,7.76
djihad,5.0
17,5.42
rt,5.62
le,7.76
café,7.18
clope,5.0
un,4.86
lendemain,5.0
de,6.24
soirée,5.12
passe,5.75
tellement,5.0
bien,5.58
18,5.56
suivant,5.0
le,7.76
pc,6.73
je,6.19
pense,4.65
19,5.42
pamela,6.21
anderson,6.59
explique,5.0
pourquoi,4.69
elle,7.61
hésite,5.0
à,7.29
apparaître,5.0
dans,6.67
le,7.76
remake,4.99
d,5.91
alerte,5.33
à,7.29
malibu,6.3
https,4.56
t,6.09
co,6.35
ec2ko0skax,5.0
culture,5.38
20,5.52
il,5.33
neige,5.43
chez,7.17
tout,6.58
le,7.76
monde,6.69
et,6.81
chez,7.17
moi,5.82
c,6.35
ntm,3.68
ok,5.33
jvois,5.0
21,5.49
rt,5.62
jlt,3.93
le,7.76
nbre,5.0
de,6.24
fois,6.11
où,5.69
j,6.62
ai,5.57
vu,4.76
sur,6.28
terrain,5.27
de,6.24
rugby,6.5
se,5.9
faire,6.22
recoudre,5.0
la,5.78
tête,5.75
la,5.78
remettre,5.0
dans,6.67
la,5.78
boue,2.7
jms,4.4
entendu,5.0
parl,4.76
22,5.5
du,7.73
vice,5.62
maternel,5.0
traînant,5.0
l,6.15
hérédité,5.0
toujours,6.59
impatient,4.77
dans,6.67
sa,5.22
course,5.75
bornée,5.0
le,7.76
croissant,6.23
fin,6.35
et,6.81
clair,5.89
parmi,5.7
ces,5.36
fleurs,6.14
de,6.24
l,6.15
ombre,5.78
24,5.71
charlotte,6.01
gainsbourg,5.17
évoque,5.0
le,7.76
décès,5.0
de,6.24
son,6.73
père,6.06
j,6.62
étais,5.0
dans,6.67
un,4.86
sale,5.37
état,4.6
https,4.56
t,6.09
co,6.35
shxvg4etx4,5.0
culture,5.38
25,5.67
lire,4.35
le,7.76
livre,6.67
d,5.91
aurélie,4.53
lanctôt,5.0
les,6.43
libéraux,5.0
n,6.26
aiment,5.0
pas,5.86
les,6.43
femmes,3.62
essai,6.08
sur,6.28
l,6.15
austérité,5.0
pq,6.78
