i,score
1,0.22
2,0.48
3,0.61
4,0.55
5,0.26
7,0.29
8,0.58
9,0.85
10,0.44
12,0.65
13,0.32
14,0.59
15,0.27
17,0.64
18,0.32
19,0.69
20,0.72
21,0.38
22,0.2
23,0.44
24,0.55
25,0.25
26,0.77
27,0.41
28,0.56
29,0.55
30,0.45
31,0.47
32,0.41
33,0.53
34,0.6
35,0.29
36,0.36
37,0.55
38,0.59
39,0.67
40,0.62
41,0.38
42,0.37
43,0.22
45,0.56
46,0.45
47,0.44
48,0.44
49,0.49
50,0.33
52,0.18
53,0.4
54,0.31
55,0.33
56,0.39
57,0.38
59,0.53
60,0.22
61,0.35
62,0.2
63,0.31
64,0.27
65,0.29
66,0.43
67,0.2
68,0.63
69,0.68
71,0.59
72,0.31
73,0.34
74,0.28
75,0.15
76,0.78
79,0.17
80,0.69
81,0.3
82,0.29
83,0.11
84,0.5
85,0.34
86,0.37
87,0.42
88,0.52
89,0.38
90,0.45
91,0.35
93,0.25
94,0.46
95,0.1
97,0.23
98,0.21
99,0.45
100,0.37
101,0.57
102,0.31
103,-0.0
104,0.45
105,0.77
106,0.26
107,0.32
108,0.39
109,0.6
110,0.26
111,0.8
113,0.43
114,0.47
115,0.47
117,0.6
118,0.53
119,-0.15
120,0.57
121,0.36
122,0.3
124,0.39
125,0.12
126,0.21
127,0.85
128,0.83
129,0.24
130,0.19
131,0.35
132,0.12
133,0.61
134,0.2
135,0.75
136,0.18
138,0.21
140,0.63
141,0.66
142,0.63
143,0.47
144,0.58
145,0.03
146,0.39
147,0.88
148,0.35
149,0.23
150,0.37
151,0.23
152,0.7
153,0.36
154,0.36
155,0.42
156,0.69
157,0.32
158,0.41
159,0.78
160,0.27
161,0.33
162,0.29
163,0.59
164,0.23
165,0.37
166,0.39
167,0.26
169,0.24
170,0.26
171,0.6
174,0.83
175,0.52
176,-0.0
177,0.43
178,0.88
179,0.72
180,0.2
181,0.48
183,0.42
184,0.26
185,0.69
186,0.03
187,0.17
188,0.44
189,0.44
190,0.47
192,0.39
193,0.39
194,0.27
195,0.17
197,0.49
198,0.39
199,0.5
200,0.3
201,0.25
202,-0.09
203,0.53
204,0.56
205,0.49
206,0.54
207,0.45
209,0.41
210,0.37
211,0.46
212,0.42
213,0.76
214,0.36
215,0.28
216,0.62
217,0.24
218,0.42
219,0.23
220,0.55
221,0.08
222,0.07
223,0.02
224,0.44
225,-0.04
226,0.57
227,0.14
228,0.2
229,0.21
230,0.63
231,0.62
232,0.26
233,0.38
234,0.3
235,0.34
237,0.36
238,0.69
239,0.5
241,0.22
243,0.23
244,0.53
245,0.3
246,0.45
247,0.16
248,0.37
249,0.71
251,0.29
252,0.59
253,0.46
254,0.33
255,0.7
256,0.41
257,0.46
259,0.99
260,0.51
261,0.37
262,0.7
263,0.57
264,0.24
265,0.65
267,0.74
268,0.04
269,0.56
270,0.55
272,0.23
273,0.35
274,0.58
276,0.24
277,0.44
279,0.56
280,0.34
281,0.35
282,0.36
283,0.71
285,0.13
286,0.8
287,0.22
288,0.13
289,0.64
290,0.69
291,0.28
292,0.43
293,0.29
294,0.57
296,0.4
297,-0.19
298,0.49
299,0.4
300,0.6
301,0.57
302,0.49
303,0.64
304,0.22
305,0.51
306,0.54
307,0.32
308,0.78
309,0.51
310,0.39
311,0.32
312,0.33
314,0.45
315,0.23
316,0.66
317,0.61
318,0.52
319,0.51
320,0.48
321,0.26
322,1.0
323,0.89
324,-0.22
325,0.72
326,0.27
327,0.44
328,0.34
329,0.72
330,0.43
332,0.58
333,0.42
334,0.39
335,-0.02
336,0.37
337,0.45
338,0.52
339,0.43
340,0.38
341,0.29
342,0.43
343,0.56
344,-0.26
345,0.56
346,0.09
347,0.45
348,0.28
349,0.4
350,0.51
351,-0.36
353,0.39
354,-0.25
355,0.32
356,0.52
357,0.4
358,0.42
359,0.52
360,0.58
361,0.21
362,0.33
363,0.7
364,0.44
365,0.28
366,0.43
367,0.34
368,0.26
369,0.33
370,0.47
371,0.45
372,0.46
373,0.56
374,0.48
375,0.04
376,0.26
378,0.69
379,0.83
380,0.59
381,0.55
382,0.3
383,0.34
384,0.12
385,0.22
386,0.64
388,0.43
389,0.24
390,0.38
391,0.28
392,0.47
393,0.47
394,0.64
395,0.44
396,0.42
397,0.13
398,0.28
400,-0.04
402,0.14
403,0.59
404,0.46
405,0.55
406,0.58
407,0.63
410,0.52
411,0.41
412,0.49
413,0.41
414,0.31
416,0.45
417,0.82
418,0.56
419,0.37
420,0.57
422,0.57
423,0.41
424,0.54
425,0.31
426,0.18
427,0.3
428,0.55
429,0.53
430,0.49
431,0.39
432,0.14
433,0.33
434,0.14
435,0.37
436,0.4
437,0.64
438,0.15
439,0.43
440,0.71
441,0.27
442,0.46
443,0.97
444,0.26
445,0.39
446,0.39
447,0.43
448,0.21
449,0.6
450,0.41
451,0.48
453,0.73
454,0.2
456,0.53
457,0.1
459,0.27
460,0.43
461,0.5
462,0.59
463,0.23
464,-0.02
465,0.35
466,0.77
469,0.51
470,0.54
471,0.12
472,0.49
473,0.73
474,0.46
475,0.25
476,0.15
477,0.27
478,0.22
479,0.38
480,0.56
481,0.11
482,0.28
483,0.13
484,0.32
485,0.5
486,0.47
487,0.33
489,0.7
490,0.21
491,0.42
492,0.43
493,0.19
494,0.84
495,0.88
496,0.36
497,0.41
498,0.88
499,0.15
501,0.48
503,0.4
504,0.15
505,0.29
506,0.44
507,0.78
508,0.42
509,0.35
510,0.44
512,0.23
513,0.66
514,0.35
515,0.36
516,0.69
517,0.52
518,0.42
519,0.52
520,-0.11
521,0.44
523,0.51
524,0.52
525,0.39
526,0.38
527,-0.06
528,0.26
529,0.54
530,0.48
531,0.46
532,0.56
533,0.35
534,0.19
535,0.4
536,0.27
537,0.39
538,0.05
539,0.26
540,0.22
541,0.29
